id,clone_url
873328,https://github.com/getsentry/sentry.git
4578002,https://github.com/faif/python-patterns.git
481366,https://github.com/nvie/gitflow.git
3774328,https://github.com/wg/wrk.git
858127,https://github.com/pandas-dev/pandas.git
6452529,https://github.com/rethinkdb/rethinkdb.git
25136308,https://github.com/github/fetch.git
29891188,https://github.com/standard/standard.git
3577919,https://github.com/astaxie/beego.git
2579314,https://github.com/fzaninotto/Faker.git
2329766,https://github.com/mathiasbynens/dotfiles.git
3482588,https://github.com/danielmiessler/SecLists.git
458058,https://github.com/symfony/symfony.git
11620669,https://github.com/CodeHubApp/CodeHub.git
3721224,https://github.com/nolimits4web/swiper.git
1064563,https://github.com/netty/netty.git
313419,https://github.com/SDWebImage/SDWebImage.git
15585444,https://github.com/IanLunn/Hover.git
1631024,https://github.com/harvesthq/chosen.git
667561,https://github.com/Marak/faker.js.git
13840241,https://github.com/freeCodeCamp/devdocs.git
29887499,https://github.com/dkhamsing/open-source-ios-apps.git
1864363,https://github.com/composer/composer.git
2500088,https://github.com/gitlabhq/gitlabhq.git
5070389,https://github.com/greenrobot/EventBus.git
13078968,https://github.com/postcss/postcss.git
18280236,https://github.com/GitbookIO/gitbook.git
2096579,https://github.com/markedjs/marked.git
5532320,https://github.com/Polymer/polymer.git
1801829,https://github.com/emberjs/ember.js.git
13584262,https://github.com/webtorrent/webtorrent.git
2541284,https://github.com/cheeriojs/cheerio.git
3757512,https://github.com/balderdashy/sails.git
8859474,https://github.com/skylot/jadx.git
24841635,https://github.com/date-fns/date-fns.git
1028340,https://github.com/ajaxorg/ace.git
790359,https://github.com/sequelize/sequelize.git
3602123,https://github.com/hammerjs/hammer.js.git
23736449,https://github.com/VincentGarreau/particles.js.git
995750,https://github.com/VundleVim/Vundle.vim.git
28751632,https://github.com/0xAX/linux-insides.git
4037197,https://github.com/ycm-core/YouCompleteMe.git
2700474,https://github.com/alibaba/fastjson.git
308770,https://github.com/heartcombo/devise.git
9603240,https://github.com/pure-css/pure.git
24635156,https://github.com/t4t5/sweetalert.git
17728164,https://github.com/hashicorp/terraform.git
18044526,https://github.com/StreisandEffect/streisand.git
4484451,https://github.com/amix/vimrc.git
20619036,https://github.com/pi-hole/pi-hole.git
16607898,https://github.com/drone/drone.git
25880891,https://github.com/facebook/flow.git
7607075,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers.git
11276147,https://github.com/cmderdev/cmder.git
597879,https://github.com/Automattic/mongoose.git
23069399,https://github.com/FezVrasta/bootstrap-material-design.git
1481305,https://github.com/realpython/python-guide.git
29261473,https://github.com/minio/minio.git
958314,https://github.com/remy/nodemon.git
18840003,https://github.com/kriasoft/react-starter-kit.git
18275356,https://github.com/facebookarchive/pop.git
23405758,https://github.com/google/leveldb.git
3606624,https://github.com/ReactiveCocoa/ReactiveCocoa.git
6988020,https://github.com/SheetJS/sheetjs.git
1580851,https://github.com/dimsemenov/PhotoSwipe.git
18347476,https://github.com/google/iosched.git
2056312,https://github.com/niklasvh/html2canvas.git
1254497,https://github.com/codemirror/CodeMirror.git
2810455,https://github.com/ggreer/the_silver_searcher.git
481872,https://github.com/hashicorp/vagrant.git
7212645,https://github.com/syl20bnr/spacemacs.git
15308499,https://github.com/SortableJS/Sortable.git
20965586,https://github.com/SwiftyJSON/SwiftyJSON.git
9754983,https://github.com/eugenp/tutorials.git
20429943,https://github.com/SwiftGGTeam/the-swift-programming-language-in-chinese.git
27574418,https://github.com/ryanoasis/nerd-fonts.git
3431083,https://github.com/BradLarson/GPUImage.git
23338716,https://github.com/JedWatson/react-select.git
6766558,https://github.com/Netflix/Hystrix.git
734934,https://github.com/pugjs/pug.git
1451352,https://github.com/mochajs/mocha.git
12670444,https://github.com/petkaantonov/bluebird.git
8686855,https://github.com/usablica/intro.js.git
22067521,https://github.com/ocornut/imgui.git
301742,https://github.com/tornadoweb/tornado.git
23095954,https://github.com/ReactiveX/RxAndroid.git
1420053,https://github.com/guzzle/guzzle.git
10567197,https://github.com/dokku/dokku.git
18511024,https://github.com/google/web-starter-kit.git
21696302,https://github.com/matteocrippa/awesome-swift.git
1357796,https://github.com/emscripten-core/emscripten.git
17803236,https://github.com/rclone/rclone.git
15045751,https://github.com/docker/compose.git
401025,https://github.com/github/hub.git
402046,https://github.com/MrRio/jsPDF.git
15975439,https://github.com/jlmakes/scrollreveal.git
1116542,https://github.com/aria2/aria2.git
14125254,https://github.com/hashicorp/consul.git
23141830,https://github.com/paularmstrong/normalizr.git
2246815,https://github.com/domnikl/DesignPatternsPHP.git
13124802,https://github.com/influxdata/influxdb.git
7240954,https://github.com/powerline/fonts.git
16587283,https://github.com/dmlc/xgboost.git
1614410,https://github.com/FFmpeg/FFmpeg.git
10851820,https://github.com/ramda/ramda.git
18477927,https://github.com/segmentio/nightmare.git
8768406,https://github.com/postcss/autoprefixer.git
5625464,https://github.com/pyenv/pyenv.git
8900723,https://github.com/inconshreveable/ngrok.git
571770,https://github.com/jgm/pandoc.git
29749635,https://github.com/donnemartin/data-science-ipython-notebooks.git
2234102,https://github.com/bcit-ci/CodeIgniter.git
6731432,https://github.com/koalaman/shellcheck.git
24976755,https://github.com/hankcs/HanLP.git
16563587,https://github.com/cockroachdb/cockroach.git
519832,https://github.com/mitmproxy/mitmproxy.git
11570469,https://github.com/SnapKit/Masonry.git
18964487,https://github.com/ruanyf/es6tutorial.git
23044617,https://github.com/Popmotion/popmotion.git
26820798,https://github.com/avajs/ava.git
12732573,https://github.com/junegunn/vim-plug.git
21125024,https://github.com/typicode/husky.git
10057936,https://github.com/square/picasso.git
1685764,https://github.com/dhg/Skeleton.git
11171548,https://github.com/nlohmann/json.git
20270252,https://github.com/feathericons/feather.git
26102180,https://github.com/afollestad/material-dialogs.git
4307108,https://github.com/nsqio/nsq.git
24586308,https://github.com/cfenollosa/os-tutorial.git
2206953,https://github.com/tj/commander.js.git
13855476,https://github.com/jinzhu/gorm.git
15480067,https://github.com/react-bootstrap/react-bootstrap.git
2055965,https://github.com/swagger-api/swagger-ui.git
2540368,https://github.com/jaredhanson/passport.git
1376664,https://github.com/Seldaek/monolog.git
7613257,https://github.com/SeleniumHQ/selenium.git
2862290,https://github.com/nostra13/Android-Universal-Image-Loader.git
1413492,https://github.com/defunkt/jquery-pjax.git
15150300,https://github.com/tobiasahlin/SpinKit.git
21399598,https://github.com/angular/material.git
22046023,https://github.com/facebook/flux.git
14003349,https://github.com/localForage/localForage.git
538746,https://github.com/ruby/ruby.git
3623050,https://github.com/Homebrew/homebrew-cask.git
19745004,https://github.com/odoo/odoo.git
18611173,https://github.com/julianshapiro/velocity.git
1234714,https://github.com/elixir-lang/elixir.git
22394357,https://github.com/osquery/osquery.git
455600,https://github.com/facebook/hhvm.git
5373551,https://github.com/libgdx/libgdx.git
5084750,https://github.com/chrisbanes/PhotoView.git
